Player,Tm,Pos,NUM GAMES,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS_40,YEAR
Matee Ajavon,WAS,G,34,587,12.4,0.451,0.324,0.435,5.4,6.5,11.8,3.2,0.5,14.2,25.9,0.1,0.9,0.9,0.064,2009
Ashley Battle,NYL,F,34,548,12,0.526,0.311,0.311,3.7,9.4,13.6,3,0.3,23.6,18.7,-0.2,1,0.8,0.058,2009
Tully Bevilaqua,IND,G,34,861,12.3,0.51,0.591,0.298,1.6,5.6,20,3.8,0.8,19,13.2,0.8,1.8,2.5,0.118,2009
DeWanna Bonner,PHO,G-F,34,724,21.1,0.551,0.047,0.554,11.6,15.1,2.8,1.5,2.4,9,22,2.7,0.5,3.2,0.178,2009
Kiesha Brown,CON,G,34,393,11.2,0.49,0.439,0.179,2.5,7.9,16.9,1.7,0.6,17.9,18.3,0,0.5,0.5,0.054,2009
Janell Burse,SEA,C,34,541,16.9,0.574,0,0.552,7.6,12.7,3.6,2.1,5.1,16.3,18.7,1,1.2,2.2,0.164,2009
Dominique Canty,CHI,G,34,776,11,0.475,0.057,0.613,2.9,4.9,24,1.9,0.5,18.8,17.9,0.6,0,0.6,0.031,2009
Essence Carson,NYL,F-G,34,859,12.6,0.497,0.318,0.15,3.4,5.1,10.7,2.3,1,13.6,21.4,0.4,1,1.3,0.062,2009
Iziane Castro Marques,ATL,F-G,34,915,14.6,0.503,0.319,0.204,2.5,4.7,12.6,1.9,0.2,14.6,25.8,1.1,0.8,1.8,0.08,2009
Tamika Catchings,IND,F,34,1084,23,0.526,0.3,0.445,9.2,13.7,19.8,4.8,1.4,15.3,23.9,3,3.1,6.1,0.225,2009
Monique Currie,WAS,F,34,728,15.2,0.509,0.24,0.585,6.1,12,14.7,2,1.6,17.3,19.6,1.2,1.2,2.4,0.131,2009
