Player,Tm,Pos,G▼,MP,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
DeWanna Bonner,PHO,G-F,34,1120,20.6,0.507,0.379,0.331,3.6,13.4,16.2,2.1,1.5,8.4,26.7,2.2,1.8,4,0.144
Natasha Cloud,WAS,G,34,1093,12.2,0.501,0.495,0.215,0.7,4.7,24.1,1.7,0.5,17.5,15.5,1.7,0.8,2.5,0.09
Napheesa Collier,MIN,F,34,1131,18.5,0.576,0.243,0.296,6.6,12.1,12.6,3,2.5,14.4,17.9,2.8,2.4,5.2,0.185
Kahleah Copper,CHI,F-G,34,502,9.7,0.483,0.24,0.343,2.8,7.1,9.6,1.4,0.4,15.5,24.1,-0.3,0.3,0,0.003
Diamond DeShields,CHI,G,34,1027,16.2,0.508,0.328,0.291,3.4,10.2,13.4,2.1,1,12,26.1,1.2,1.2,2.4,0.094
Stefanie Dolson,CHI,C,34,850,14.8,0.621,0.356,0.21,5.7,12.4,13.8,1.2,2.9,20.6,16.4,1.6,1.1,2.7,0.126
Candice Dupree,IND,F,34,1043,14.5,0.502,0.008,0.152,2.7,9.4,14.9,0.8,1.5,11.7,19.3,1.2,0.5,1.6,0.062
Sylvia Fowles,MIN,C,34,1003,22.2,0.613,0,0.296,11.4,18.5,9.1,1.6,4.1,15.2,20,3.1,2.2,5.3,0.211
Allisha Gray,DAL,G,34,1035,16.5,0.593,0.336,0.438,4.9,8.1,14.1,2.2,1.2,13.8,15.8,3.1,0.5,3.6,0.14
Chelsea Gray,LAS,G,34,1108,15.8,0.509,0.29,0.159,1.4,6.6,31.1,1.5,0.2,18.3,23.8,1.1,1.2,2.4,0.085
Reshanda Gray,NYL,F,34,519,11.1,0.502,0.013,0.413,13.5,19.3,6,1.6,1.1,19.2,18.5,0.1,0.4,0.5,0.037
Dearica Hamby,LVA,F,34,842,18.9,0.558,0.183,0.356,10.1,16.6,13.4,1.9,1.2,15.4,20.2,1.8,1.8,3.6,0.169
Bria Holmes,CON,G,34,529,11.3,0.487,0.326,0.301,2.1,5.3,9.7,1.5,1.2,12.1,20.4,0.3,0.5,0.8,0.059
Natasha Howard,SEA,F,34,1066,24.2,0.523,0.201,0.306,10.1,16.1,14,3.7,4.8,14.4,29.4,2,2.6,4.6,0.173
Jonquel Jones,CON,F,34,980,24.3,0.56,0.36,0.342,12.5,19.3,9.2,2.2,6.1,12.9,22.6,3.3,2.4,5.6,0.23
Betnijah Laney,IND,G-F,34,877,8.7,0.424,0.31,0.146,4.3,9.4,10.7,2.9,0.4,17.8,14.2,-0.8,0.9,0.1,0.004
Crystal Langhorne,SEA,F,34,577,10.9,0.502,0.333,0.257,5.5,11.3,10,0.9,1.3,18.4,18.5,0,0.6,0.6,0.039
Kayla McBride,LVA,G,34,990,16.7,0.566,0.405,0.268,2.5,7.8,15,2,0.2,12.8,19.9,2.2,1.5,3.7,0.149
Brooke McCarty-Williams,DAL,G,34,447,7.5,0.425,0.556,0.133,2.5,6,24.3,1.9,0.2,23.3,12.8,-0.1,0.1,0,-0.001
Teaira McCowan,IND,C,34,752,22.5,0.576,0,0.652,17.1,23.4,1.9,1.4,4.8,12.9,20.4,2.6,1.3,3.9,0.208
Kelsey Mitchell,IND,G,34,852,15.1,0.506,0.488,0.141,0.6,3.8,20.2,0.9,0.4,11,27.3,1.2,-0.1,1.1,0.052
Renee Montgomery,ATL,G,34,949,11.1,0.52,0.727,0.176,1,4.1,18,1.7,0.5,16.8,17.5,0.4,0.5,0.9,0.039
Kia Nurse,NYL,G,34,1001,14.7,0.554,0.51,0.368,2.1,4.8,13.5,1.3,0.3,11.8,20.8,2.3,-0.3,1.9,0.078
Cheyenne Parker,CHI,F,34,670,18.7,0.544,0.077,0.408,11,16.4,7.2,1.8,4.6,14.1,20.8,1.4,1.2,2.6,0.157
Kelsey Plum,LVA,G,34,868,10,0.472,0.427,0.133,1.9,6.1,18.9,1.5,0.4,14.6,18,0.1,1.1,1.2,0.056
LaToya Sanders,WAS,F,34,804,16.3,0.55,0,0.215,6.8,14.1,11.6,1.9,4.8,13.7,12.4,1.9,1.5,3.4,0.167
Allie Quigley,CHI,G,34,972,17.8,0.632,0.522,0.156,1.6,5.8,14.5,1.4,0.5,11,18.7,3.2,0.5,3.7,0.154
Danielle Robinson,MIN,G,34,919,14.3,0.497,0.13,0.209,3,7.9,22.4,2.4,0.7,16.9,20.3,0.8,1.4,2.3,0.098
Tierra Ruffin-Pratt,LAS,G,34,856,8.6,0.477,0.372,0.209,2.7,5.5,9.9,1.5,2,11.9,12.6,0.5,0.9,1.5,0.069
Mercedes Russell,SEA,C,34,870,15.5,0.546,0,0.319,10.9,14.6,7,2.2,1.7,12.4,14,1.8,1.3,3.1,0.143
Odyssey Sims,MIN,G,34,1083,15,0.488,0.204,0.246,2.7,6.5,29.3,2.2,0.3,18.2,25.5,0.7,1.4,2.1,0.078
Shekinna Stricklen,CON,F-G,34,804,12.9,0.573,0.78,0.106,1.2,4.6,7.8,2.2,0.8,9.5,15.9,1.7,0.9,2.6,0.129
Brittney Sykes,ATL,G,34,880,11.3,0.445,0.308,0.259,3,9.1,19.6,1.2,1.5,14.8,23.1,-0.8,0.8,0,-0.001
Alyssa Thomas,CON,F,34,1026,18.3,0.513,0.003,0.363,8.8,14.7,17.2,3.3,1.1,15.2,19.2,1.7,2.1,3.7,0.145
Jasmine Thomas,CON,G,34,1009,13.9,0.491,0.346,0.197,2,5.5,28.3,2.4,0.4,19.4,20.6,0.8,1.2,2,0.078
Shatori Walker-Kimbrough,WAS,G,34,580,15.2,0.564,0.403,0.324,3.6,5.6,10.6,2.5,1.1,14.5,18.5,1.3,0.6,1.9,0.13
Erica Wheeler,IND,G,34,850,15.8,0.538,0.419,0.158,0.7,6.9,35.3,2.5,0.5,23.3,22.1,0.7,0.7,1.4,0.065
Courtney Williams,CON,G,34,988,19,0.486,0.081,0.174,5.3,11,23.2,2.4,1.2,10.8,22.8,2,1.5,3.5,0.143
Jackie Young,LVA,G,34,767,12.4,0.42,0.186,0.309,3.4,7.9,30.9,1.7,1.3,16.5,18,0.1,1.2,1.3,0.067
Tamera Young,LVA,F,34,628,9.5,0.437,0.089,0.341,6.2,10.8,16.8,1.8,0.5,18.9,17.4,-0.4,1,0.6,0.038
Ariel Atkins,WAS,G,33,804,17,0.532,0.483,0.179,3.7,7,12.2,3.1,1.8,9.6,20,1.9,1.1,3,0.15
Brittany Boyd,NYL,G,33,649,13,0.449,0.128,0.189,4.7,10.6,38.2,3.6,0.5,29.4,18.6,-0.6,0.6,0,0.002
Jessica Breland,ATL,F,33,767,15.2,0.425,0.138,0.12,5.7,16.6,14.2,2.8,3.6,11.6,18.9,-0.4,1.9,1.5,0.076
Lexie Brown,MIN,G,33,605,13.4,0.554,0.646,0.182,1.4,4.6,12.6,2.6,0.1,15.4,19.8,0.8,0.8,1.6,0.105
Tina Charles,NYL,C,33,1028,14.8,0.448,0.104,0.235,7.1,13.8,15,1.1,2.3,12,30.2,-0.6,0.5,-0.1,-0.005
Sydney Colson,LVA,G,33,379,13.5,0.558,0.238,0.393,0.6,3.3,24.1,4,0.9,22.1,14.3,0.4,0.8,1.2,0.126
Kaela Davis,DAL,G,33,634,4.6,0.401,0.221,0.143,2.8,6.8,20.6,1.5,0.8,22.9,23.2,-1.9,0.2,-1.8,-0.111
Tiffany Mitchell,IND,G,33,831,11.2,0.491,0.241,0.325,3.2,6.6,14.5,1.2,0.3,14.4,20.8,0.6,0.1,0.8,0.037
Arike Ogunbowale,DAL,G,33,1059,18.3,0.501,0.294,0.323,2.1,4.5,22.5,1.8,0.1,9.8,30.4,2.6,0.1,2.7,0.101
Sugar Rodgers,LVA,G,33,382,9.5,0.499,0.757,0.045,1.2,6.8,16,1.7,2.6,19.3,15.8,-0.1,0.6,0.5,0.053
Stephanie Talbot,MIN,F-G,33,561,11.4,0.513,0.617,0.201,4,8.7,11.2,2.8,1.4,20,16.8,0.1,1,1.1,0.077
Morgan Tuck,CON,F,33,352,10,0.476,0.362,0.259,5.6,10.7,12.8,1.9,0.8,18.8,19.6,-0.1,0.5,0.3,0.039
Courtney Vandersloot,CHI,G,33,991,20.5,0.552,0.358,0.268,2.4,8.1,47,2.2,1.1,22.3,18.9,3,1.1,4.1,0.166
Sami Whitcomb,SEA,G,33,674,12.8,0.52,0.821,0.049,2.9,5.2,20.2,2.8,0.5,18.5,19,0.4,0.7,1.2,0.07
Gabby Williams,CHI,G,33,527,10.4,0.468,0.227,0.221,3.2,7.6,20.2,2.1,1,21.7,21,-0.5,0.5,0,-0.001
Liz Cambage,LVA,C,32,807,24.3,0.558,0.031,0.398,8.7,17.6,16.8,1.2,5.2,13.6,28.1,2.2,2,4.1,0.204
Sophie Cunningham,PHO,G,32,389,8.1,0.532,0.582,0.43,1.8,6.7,10.6,1.5,0.8,17.6,13.9,0.2,0.3,0.5,0.053
